I 08/23/2013 14:11:42:879 72483180            RhodesApp| New start params: -approot='/Users/user/rho/rhodes-system-api-samples' -rhodespath='/Users/user/.rvm/gems/ruby-1.9.3-p392/gems/rhodes-3.5.1.13' 
I 08/23/2013 14:11:42:881 72483180                 Main| Rhodes started
I 08/23/2013 14:11:42:882 03c04000         AppCallbacks| Starting main routine...
I 08/23/2013 14:11:42:882 03c04000         AppCallbacks| ThreadQueue blocked for 4294967295 seconds...
I 08/23/2013 14:11:42:882 72483180            RhodesApp| Trying to get free listening port.
I 08/23/2013 14:11:42:882 72483180            RhodesApp| Trying to bind of 0 port...
I 08/23/2013 14:11:42:895 72483180            RhodesApp| Got port to bind on: 61065
I 08/23/2013 14:11:42:896 72483180            RhodesApp| Free listening port: 61065
I 08/23/2013 14:11:45:378 72483180            RhodesApp| callAppActiveCallback
I 08/23/2013 14:11:45:379 72483180         AppCallbacks| addCommand: APP-ACTIVATED
I 08/23/2013 14:11:45:379 03c04000         AppCallbacks| Received command APP-ACTIVATED which is greater than expected (LOCAL-SERVER-STARTED) - postpone it
I 08/23/2013 14:11:45:379 03c04000         AppCallbacks| ThreadQueue blocked for 4294967295 seconds...
I 08/23/2013 14:11:45:491 72483180         AppCallbacks| addCommand: UI-CREATED
I 08/23/2013 14:11:45:491 03c04000         AppCallbacks| Received command UI-CREATED which is greater than expected (LOCAL-SERVER-STARTED) - postpone it
I 08/23/2013 14:11:45:491 03c04000         AppCallbacks| ThreadQueue blocked for 4294967295 seconds...
I 08/23/2013 14:11:45:491 09cbf000            RhodesApp| Starting RhodesApp main routine...
I 08/23/2013 14:11:45:500 09cbf000              RhoRuby| Init_RhoBlobs: /Users/user/rho/rhodes-system-api-samples/rhosimulator/db/db-files
I 08/23/2013 14:11:45:502 72483180           MainWindow| navigate: 'about:blank'
I 08/23/2013 14:11:45:502 72483180         QtMainWindow| WebView: loading...
I 08/23/2013 14:11:45:502 72483180         QtMainWindow| WebView: URL changed to about:blank
I 08/23/2013 14:11:45:503 72483180         QtMainWindow| Page load complete.
I 08/23/2013 14:11:45:508 09cbf000              RhoRuby| require_compiled: digest
I 08/23/2013 14:11:45:509 09cbf000              RhoRuby| require_compiled: digest.so
I 08/23/2013 14:11:45:515 09cbf000              RhoRuby| require_compiled: rhoframework
I 08/23/2013 14:11:45:516 09cbf000              RhoRuby| require_compiled: rational
I 08/23/2013 14:11:45:516 09cbf000              RhoRuby| require_compiled: rhom/rhom_db_adapter
I 08/23/2013 14:11:45:518 09cbf000              RhoRuby| require_compiled: rhodes
I 08/23/2013 14:11:45:519 09cbf000              RhoRuby| require_compiled: rhom/rhom_object
I 08/23/2013 14:11:45:519 09cbf000              RhoRuby| require_compiled: rhofsconnector
I 08/23/2013 14:11:45:519 09cbf000              RhoRuby| require_compiled: rho/rhofsconnector
I 08/23/2013 14:11:45:521 09cbf000              RhoRuby| require_compiled: rhom/rhom_object_factory
I 08/23/2013 14:11:45:532 72483180       ClientRegister| Starting ClientRegister...
I 08/23/2013 14:11:45:532 0a281000       ClientRegister| ClientRegister is started
I 08/23/2013 14:11:45:532 0a281000       ClientRegister| Try to register: 1
I 08/23/2013 14:11:45:532 0a281000       ClientRegister| SyncThread is not ready
I 08/23/2013 14:11:45:532 0a281000       ClientRegister| Waiting for 60 sec to try again to register client
I 08/23/2013 14:11:45:532 0a281000       ClientRegister| Try to register: 2
I 08/23/2013 14:11:45:532 0a281000       ClientRegister| SyncThread is not ready
I 08/23/2013 14:11:45:532 0a281000       ClientRegister| Waiting for 60 sec to try again to register client
I 08/23/2013 14:11:45:533 09cbf000              RhoRuby| require_compiled: rhom/rhom
I 08/23/2013 14:11:45:537 09cbf000              RhoRuby| require_compiled: rhom/rhom_model
I 08/23/2013 14:11:45:538 09cbf000              RhoRuby| require_compiled: rhom
I 08/23/2013 14:11:45:538 09cbf000              RhoRuby| require_compiled: rho/rhoapplication
I 08/23/2013 14:11:45:540 09cbf000              RhoRuby| require_compiled: rholang/localization_simplified
I 08/23/2013 14:11:45:542 09cbf000              RhoRuby| require_compiled: rho/rhomsg
I 08/23/2013 14:11:45:542 09cbf000              RhoRuby| require_compiled: rho/rhotabbar
I 08/23/2013 14:11:45:542 09cbf000              RhoRuby| require_compiled: rho/rhotoolbar
I 08/23/2013 14:11:45:543 09cbf000                  APP| Current locale: ; Country code: 
I 08/23/2013 14:11:45:543 09cbf000                  APP| Locilized file: /Users/user/.rvm/gems/ruby-1.9.3-p392/gems/rhodes-3.5.1.13/lib/framework/rholang/lang_
I 08/23/2013 14:11:45:543 09cbf000              RhoRuby| require_compiled: /Users/user/.rvm/gems/ruby-1.9.3-p392/gems/rhodes-3.5.1.13/lib/framework/rholang/lang_en
I 08/23/2013 14:11:45:543 09cbf000                  APP| Locilized file: /Users/user/rho/rhodes-system-api-samples/app/lang/lang_
I 08/23/2013 14:11:45:544 09cbf000              RhoRuby| require_compiled: /Users/user/rho/rhodes-system-api-samples/app/lang/lang_en
I 08/23/2013 14:11:45:544 09cbf000                  APP| Locilized file: /Users/user/.rvm/gems/ruby-1.9.3-p392/gems/rhodes-3.5.1.13/lib/framework/rholang/rhoerror_
I 08/23/2013 14:11:45:544 09cbf000              RhoRuby| require_compiled: /Users/user/.rvm/gems/ruby-1.9.3-p392/gems/rhodes-3.5.1.13/lib/framework/rholang/rhoerror_en
I 08/23/2013 14:11:45:545 09cbf000                  APP| Locilized file: /Users/user/.rvm/gems/ruby-1.9.3-p392/gems/rhodes-3.5.1.13/lib/framework/rholang/rhomsg_
I 08/23/2013 14:11:45:545 09cbf000              RhoRuby| require_compiled: /Users/user/.rvm/gems/ruby-1.9.3-p392/gems/rhodes-3.5.1.13/lib/framework/rholang/rhomsg_en
I 08/23/2013 14:11:45:546 09cbf000              RhoRuby| require_compiled: indifferent_access
I 08/23/2013 14:11:45:546 09cbf000              RhoRuby| require_compiled: rho/rhosupport
I 08/23/2013 14:11:45:548 09cbf000              RhoRuby| require_compiled: rho/rhocontroller
I 08/23/2013 14:11:45:549 09cbf000              RhoRuby| require_compiled: rho/render
I 08/23/2013 14:11:45:552 09cbf000              RhoRuby| require_compiled: rho/rho
I 08/23/2013 14:11:45:563 09cbf000              RhoRuby| require_compiled: rho/rhoerror
I 08/23/2013 14:11:45:563 09cbf000              RhoRuby| require_compiled: rhom/rhom_source
I 08/23/2013 14:11:45:565 09cbf000              RhoRuby| require_compiled: rhodes_translator
I 08/23/2013 14:11:45:565 09cbf000              RhoRuby| require_compiled: rhodes_translator/translator
I 08/23/2013 14:11:45:565 09cbf000              RhoRuby| require_compiled: rhodes_translator/binding
I 08/23/2013 14:11:45:566 09cbf000              RhoRuby| require_compiled: rhodes_translator/validation
I 08/23/2013 14:11:45:567 09cbf000              RhoRuby| require_compiled: rho/rhoviewhelpers
I 08/23/2013 14:11:45:568 09cbf000              RhoRuby| require_compiled: rho
I 08/23/2013 14:11:45:577 09cbf000              RhoRuby| require_compiled: debugger
I 08/23/2013 14:11:45:580 09cbf000              RhoRuby| require_compiled: uri
I 08/23/2013 14:11:45:581 09cbf000              RhoRuby| require_compiled: uri/common
I 08/23/2013 14:11:45:607 09cbf000              RhoRuby| require_compiled: uri/generic
I 08/23/2013 14:11:45:619 09cbf000              RhoRuby| require_compiled: uri/ftp
I 08/23/2013 14:11:45:622 09cbf000              RhoRuby| require_compiled: uri/http
I 08/23/2013 14:11:45:625 09cbf000              RhoRuby| require_compiled: uri/https
I 08/23/2013 14:11:45:625 09cbf000              RhoRuby| require_compiled: uri/ldap
I 08/23/2013 14:11:45:626 09cbf000              RhoRuby| require_compiled: uri/ldaps
I 08/23/2013 14:11:45:627 09cbf000              RhoRuby| require_compiled: uri/mailto
I 08/23/2013 14:11:45:628 09cbf000              RhoRuby| require_compiled: timeout
I 08/23/2013 14:11:45:630 09cbf000                  APP| [Debugger] Unable to open connection to debugger: #<Errno::ECONNREFUSED: Connection refused - connect(2)>
I 08/23/2013 14:11:45:630 09cbf000                  APP| RHO loaded
I 08/23/2013 14:11:45:630 09cbf000                  APP| Calling RHO.initialize
I 08/23/2013 14:11:45:630 09cbf000              RhoRuby| require_compiled: rhoappmanifest
I 08/23/2013 14:11:45:630 09cbf000              RhoRuby| require_compiled: find
